iter	RMSE
0	1.184824366
1	1.167171027
2	1.149595729
3	1.132547074
4	1.116006806
5	1.099757594
6	1.083819422
7	1.068267806
8	1.052976194
9	1.038125946
10	1.023620261
11	1.009543285
12	0.9958987949
13	0.9825323386
14	0.9694717578
15	0.9566782568
16	0.9442004189
17	0.9319121439
18	0.9199812876
19	0.9084935267
20	0.8971606745
21	0.8861692299
22	0.8753445942
23	0.865108465
24	0.8549071491
25	0.8449274765
26	0.8352550305
27	0.8258522501
28	0.8167046984
29	0.8078268948
30	0.7989645321
31	0.7905487682
32	0.7823254366
33	0.7743658274
34	0.7666734394
35	0.7590563504
36	0.7517286917
37	0.7444871274
38	0.7374716395
39	0.7305506962
40	0.7238691011
41	0.7174231729
42	0.7110877056
43	0.7049386324
44	0.6989948012
45	0.6932932977
46	0.6877114331
47	0.6822414569
48	0.6769019628
49	0.6717093281
50	0.6667022331
51	0.661776263
52	0.6570721073
53	0.6524337546
54	0.648022662
55	0.6436937184
56	0.6394822402
57	0.6353622046
58	0.6313899495
59	0.6275885335
60	0.6238534616
61	0.6202314212
62	0.6167054533
63	0.613366723
64	0.610126976
65	0.606882348
66	0.603817329
67	0.600813324
68	0.5978525317
69	0.595007596
70	0.5922269723
71	0.5895526664
72	0.5870082106
73	0.584506217
74	0.5821024698
75	0.579762287
76	0.5775254896
77	0.5752806787
78	0.573152138
79	0.5710188886
80	0.5689489391
81	0.5670060309
82	0.5650797199
83	0.5631921872
84	0.5613976518
85	0.5596461152
86	0.5579534951
87	0.5563245037
88	0.5547150168
89	0.5531999443
90	0.5517017917
91	0.55022776
92	0.5488734959
93	0.5474756881
94	0.54612391
95	0.5448258734
96	0.5435695542
97	0.5423785143
98	0.5411576567
99	0.5400164274
100	0.5388768814
101	0.5378373292
102	0.5368142168
103	0.5358383879
104	0.5348420568
105	0.5338857766
106	0.5329260402
107	0.5320093799
108	0.5311066357
109	0.5302281267
110	0.5293611382
111	0.5285667753
112	0.5277783131
113	0.5269781057
114	0.5262283662
115	0.5254957628
116	0.5247765934
117	0.5240809351
118	0.5234149368
119	0.522779942
120	0.5221255144
121	0.5215000106
122	0.5208657771
123	0.5202595557
124	0.5196840725
125	0.5190875299
126	0.5185223751
127	0.5179801386
128	0.5174807302
129	0.5169716674
130	0.5165008045
131	0.5160152691
132	0.515568454
133	0.5150831338
134	0.51464597
135	0.5142119602
136	0.5138049948
137	0.5134009884
138	0.5129920741
139	0.5126076154
140	0.5121301411
141	0.5117337118
142	0.5113840336
143	0.5110146482
144	0.5106789553
145	0.510313367
146	0.5099104753
147	0.5095557898
148	0.5091869294
149	0.5088743071
150	0.5085659427
151	0.5082148157
152	0.5079242017
153	0.5075921321
154	0.5072989079
155	0.5070032443
156	0.5067222331
157	0.5064559635
158	0.5061977329
159	0.505947917
160	0.5056814876
161	0.5054444771
162	0.505192154
163	0.5048992967
164	0.5046627269
165	0.5044307802
